;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;6.711;1.06;12.1;0.8349
1;6.713;1.06;12.23;0.835
2;6.72;1.059;12.26;0.835
3;6.72;1.061;12.37;0.8347
4;6.723;1.061;12.42;0.8337
5;6.732;1.056;12.47;0.8321
6;6.781;1.051;12.64;0.8305
7;6.788;1.049;13.12;0.8295
8;6.821;1.048;13.6;0.8295
9;6.873;1.048;13.81;0.8295
10;6.873;1.052;13.88;0.8294
11;6.882;1.052;13.89;0.8291
12;6.887;1.052;13.89;0.83
13;6.887;1.049;13.94;0.8321
14;6.899;1.048;14.07;0.8316
15;6.901;1.049;14.14;0.8329
16;6.927;1.049;14.2;0.8353
17;6.962;1.049;14.3;0.8384
18;6.962;1.048;14.31;0.8431
19;6.967;1.049;14.4;0.8466
20;6.969;1.049;14.62;0.8495
21;6.971;1.049;14.96;0.8514
22;6.971;1.049;15.23;0.8521
23;6.983;1.05;15.24;0.8521
24;7.027;1.049;15.3;0.8522
25;7.042;1.049;15.34;0.8521
26;7.042;1.049;15.35;0.8524
27;7.042;1.049;15.39;0.8533
28;7.056;1.049;15.43;0.8538
29;7.147;1.049;15.45;0.854
30;7.262;1.049;15.45;0.8575
31;7.267;1.048;15.45;0.8614
32;7.288;1.047;15.46;0.8627
33;7.288;1.048;15.46;0.864
34;7.295;1.05;15.45;0.8652
35;7.295;1.052;15.46;0.8648
36;7.309;1.051;15.48;0.863
37;7.36;1.046;15.48;0.8622
38;7.367;1.044;15.52;0.8604
39;7.37;1.042;15.55;0.8562
40;7.377;1.04;15.59;0.8554
41;7.412;1.04;15.76;0.8558
42;7.428;1.039;15.88;0.8575
43;7.433;1.04;15.9;0.8588
44;7.456;1.04;15.97;0.8607
45;7.55;1.04;16.07;0.8672
46;7.663;1.04;16.07;0.8743
47;7.712;1.04;16.11;0.8775
48;7.712;1.042;16.12;0.882
49;7.717;1.041;16.12;0.8884
50;7.717;1.041;16.12;0.8903
51;7.719;1.046;16.12;0.8931
52;7.719;1.06;16.13;0.9003
