;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;6.31;0.9745;12.21;0.7799
1;6.341;0.9756;12.44;0.7779
2;6.425;0.976;12.56;0.7762
3;6.545;0.976;12.62;0.7775
4;6.61;0.976;12.63;0.7826
5;6.622;0.978;12.64;0.7847
6;6.622;0.9838;12.65;0.7868
7;6.622;0.9862;12.65;0.7902
8;6.627;0.9862;12.73;0.7932
9;6.683;0.9877;13.01;0.7969
10;6.84;0.9885;13.31;0.8003
11;6.924;0.9885;13.5;0.8
12;6.913;0.9881;13.76;0.8011
13;6.903;0.9897;14.18;0.8033
14;6.99;0.9983;14.39;0.8077
15;7.135;1.014;14.4;0.8128
16;7.238;1.024;14.41;0.8123
17;7.292;1.028;14.43;0.8123
18;7.292;1.03;14.44;0.8123
19;7.388;1.031;14.44;0.8117
20;7.459;1.031;14.44;0.8107
21;7.461;1.033;14.66;0.8122
22;7.463;1.038;15.13;0.813
23;7.468;1.046;15.47;0.8131
24;7.47;1.051;15.73;0.8151
25;7.51;1.052;16.06;0.8167
26;7.529;1.056;16.36;0.8199
27;7.538;1.059;16.52;0.827
28;7.574;1.059;16.59;0.8292
29;7.585;1.059;16.58;0.8291
30;7.602;1.059;16.75;0.83
31;7.658;1.06;17.22;0.8291
32;7.688;1.06;17.67;0.8289
33;7.691;1.06;18.0;0.8304
34;7.7;1.06;18.28;0.8299
35;7.731;1.059;18.41;0.8273
36;7.733;1.058;18.44;0.8262
37;7.733;1.059;18.46;0.826
38;7.738;1.058;18.5;0.8257
39;7.752;1.058;18.57;0.8257
40;7.78;1.057;18.66;0.826
41;7.867;1.054;18.69;0.826
42;7.916;1.055;18.69;0.8249
43;7.918;1.051;18.69;0.823
44;7.932;1.046;18.7;0.8196
45;7.935;1.047;18.7;0.8197
46;7.942;1.049;18.73;0.8223
47;7.939;1.052;18.77;0.8234
48;7.937;1.057;18.77;0.8242
49;7.946;1.057;18.77;0.8242
50;7.946;1.053;18.77;0.8234
51;7.953;1.05;18.77;0.8226
52;7.958;1.05;18.78;0.8222
53;7.958;1.052;18.81;0.8226
54;7.958;1.055;18.83;0.8279
55;7.958;1.057;18.83;0.8376
56;7.958;1.057;18.84;0.8458
57;7.958;1.057;18.89;0.8514
58;7.989;1.056;18.96;0.8559
59;8.108;1.056;19.05;0.8628
60;8.164;1.053;19.13;0.8704
61;8.164;1.05;19.21;0.8739
62;8.211;1.051;19.3;0.8746
63;8.265;1.052;19.35;0.8751
64;8.279;1.051;19.38;0.8781
65;8.303;1.049;19.42;0.8852
66;8.38;1.047;19.44;0.9013
67;8.41;1.046;19.45;0.9249
68;8.41;1.046;19.5;0.9439
69;8.41;1.047;19.54;0.9563
70;8.415;1.048;19.59;0.9664
71;8.417;1.048;19.65;0.9711
72;8.436;1.048;19.72;0.9706
73;8.467;1.051;19.78;0.9715
74;8.518;1.053;19.86;0.9794
75;8.603;1.051;20.03;0.9913
76;8.633;1.051;20.17;1.0
77;8.643;1.053;20.21;1.014
78;8.687;1.056;20.21;1.03
79;8.689;1.054;20.22;1.04
80;8.692;1.054;20.22;1.043
81;8.692;1.056;20.24;1.046
82;8.692;1.056;20.27;1.046
83;8.703;1.056;20.34;1.045
84;8.718;1.057;20.5;1.045
85;8.734;1.062;20.67;1.045
86;8.746;1.065;20.81;1.045
87;8.757;1.067;21.02;1.046
88;8.797;1.068;21.24;1.046
89;8.849;1.067;21.43;1.046
90;8.877;1.068;21.58;1.048
91;8.903;1.074;21.66;1.049
92;8.931;1.083;21.71;1.052
93;8.957;1.085;21.75;1.058
94;9.013;1.088;21.78;1.061
95;9.111;1.094;21.78;1.062
96;9.179;1.096;21.81;1.064
97;9.191;1.094;22.06;1.065
98;9.189;1.096;22.43;1.066
99;9.198;1.095;22.52;1.068
100;9.245;1.094;22.56;1.068
101;9.308;1.095;22.88;1.067
102;9.32;1.097;23.45;1.064
103;9.329;1.095;23.75;1.06
104;9.341;1.092;23.89;1.057
105;9.343;1.09;24.06;1.054
106;9.369;1.089;24.29;1.054
107;9.4;1.09;24.56;1.058
108;9.435;1.091;24.75;1.064
109;9.51;1.09;24.79;1.066
110;9.59;1.09;24.79;1.068
111;9.608;1.089;24.81;1.068
112;9.613;1.091;24.91;1.068
113;9.629;1.092;25.19;1.068
114;9.636;1.092;25.59;1.067
115;9.641;1.094;25.91;1.068
116;9.681;1.098;26.12;1.069
117;9.871;1.115;26.22;1.071
118;10.17;1.151;26.23;1.071
119;10.32;1.186;26.27;1.069
120;10.32;1.208;26.4;1.067
121;10.37;1.222;26.49;1.064
122;10.46;1.231;26.5;1.064
123;10.5;1.233;26.51;1.068
124;10.5;1.233;26.55;1.072
125;10.5;1.234;26.68;1.078
126;10.51;1.234;26.92;1.086
127;10.52;1.238;27.17;1.091
128;10.53;1.238;27.37;1.099
129;10.6;1.241;27.54;1.112
130;10.61;1.253;27.58;1.125
131;10.62;1.268;27.59;1.135
132;10.64;1.274;27.79;1.142
133;10.67;1.274;28.1;1.146
134;10.79;1.276;28.33;1.147
135;10.91;1.277;28.54;1.147
136;10.98;1.277;28.89;1.149
137;11.05;1.277;29.15;1.152
138;11.12;1.278;29.2;1.155
139;11.15;1.278;29.23;1.158
140;11.16;1.278;29.24;1.159
141;11.17;1.278;29.32;1.159
142;11.17;1.279;29.55;1.159
143;11.17;1.279;29.6;1.159
144;11.18;1.279;29.61;1.159
145;11.18;1.278;29.61;1.158
146;11.18;1.276;29.62;1.157
147;11.18;1.276;29.68;1.159
148;11.2;1.277;29.68;1.162
149;11.31;1.275;29.76;1.162
150;11.47;1.273;29.77;1.162
151;11.49;1.274;29.77;1.162
152;11.55;1.274;29.98;1.162
153;11.68;1.275;30.26;1.162
154;11.79;1.276;30.28;1.162
155;11.95;1.28;30.29;1.162
156;12.08;1.287;30.3;1.167
157;12.11;1.291;30.3;1.167
158;12.13;1.291;30.58;1.168
159;12.16;1.291;31.46;1.172
160;12.16;1.292;31.96;1.18
