;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;1.368;0.9751;12.04;2.029
1;1.369;0.977;12.07;2.029
2;1.369;0.9793;12.09;2.028
3;1.369;0.9815;12.1;2.026
4;1.371;0.9815;12.1;2.027
5;1.371;0.9857;12.1;2.027
6;1.371;0.9797;12.1;2.027
7;1.371;0.9797;12.11;2.028
8;1.371;0.9804;12.11;2.029
9;1.371;0.98;12.11;2.028
10;1.371;0.9797;12.12;2.028
11;1.372;0.9797;12.12;2.028
12;1.372;0.9797;12.12;2.028
13;1.374;0.9793;12.12;2.028
14;1.373;0.9797;12.12;2.028
15;1.374;0.98;12.15;2.027
16;1.375;0.98;12.22;2.027
17;1.376;0.9804;12.33;2.026
18;1.376;0.98;12.4;2.025
19;1.376;0.9797;12.41;2.025
20;1.375;0.9793;12.41;2.025
21;1.373;0.9793;12.43;2.025
22;1.373;0.98;12.43;2.025
23;1.373;0.9815;12.44;2.023
24;1.373;0.9793;12.45;2.023
25;1.375;0.9789;12.46;2.024
26;1.376;0.9797;12.57;2.024
27;1.376;0.9793;12.84;2.024
28;1.378;0.9793;13.04;2.024
29;1.378;0.9781;13.15;2.022
30;1.382;0.9781;13.21;2.02
31;1.382;0.9781;13.23;2.019
32;1.383;0.9785;13.25;2.021
33;1.383;0.9781;13.26;2.022
34;1.383;0.9778;13.27;2.021
35;1.383;0.977;13.29;2.021
36;1.383;0.9763;13.3;2.021
37;1.385;0.977;13.3;2.021
38;1.381;0.9766;13.3;2.021
39;1.376;0.9766;13.3;2.019
40;1.376;0.9846;13.3;2.016
41;1.376;0.991;13.31;2.017
42;1.378;0.985;13.35;2.018
43;1.382;0.9846;13.39;2.019
44;1.384;0.9842;13.43;2.02
45;1.381;0.9838;13.45;2.019
46;1.38;0.9838;13.45;2.016
47;1.38;0.9838;13.45;2.014
48;1.38;0.9827;13.45;2.013
49;1.38;0.9815;13.46;2.013
50;1.383;0.9812;13.48;2.012
51;1.388;0.9812;13.49;2.015
52;1.396;0.9812;13.5;2.017
53;1.407;0.9823;13.54;2.017
54;1.417;0.9853;13.66;2.018
55;1.423;0.9853;13.83;2.019
56;1.43;0.9865;13.98;2.018
57;1.441;0.9902;14.06;2.018
58;1.448;0.9902;14.08;2.02
59;1.447;0.9902;14.11;2.021
60;1.451;0.9872;14.17;2.02
61;1.451;0.988;14.22;2.019
62;1.463;0.9887;14.24;2.02
63;1.471;0.9884;14.25;2.019
64;1.471;0.9906;14.37;2.019
