;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;12.06;3.943;1.624;0.7293
1;12.32;3.939;1.623;0.7377
2;12.58;3.931;1.633;0.7477
3;12.79;3.929;1.703;0.7608
4;12.98;3.927;1.868;0.7686
5;13.02;3.921;2.022;0.7744
6;13.25;3.914;2.045;0.7844
7;14.67;3.91;2.046;0.7928
8;16.4;3.908;2.061;0.7975
9;17.59;3.906;2.075;0.7996
10;18.7;3.906;2.076;0.7975
11;19.74;3.906;2.081;0.7954
12;20.05;3.908;2.08;0.7991
13;20.05;3.906;2.079;0.8085
14;20.15;3.898;2.079;0.8169
15;20.16;3.89;2.079;0.8216
16;20.19;3.886;2.078;0.8243
17;20.28;3.882;2.077;0.8264
18;20.36;3.882;2.096;0.8279
19;20.38;3.882;2.1;0.8316
20;20.42;3.882;2.111;0.8369
21;20.78;3.882;2.113;0.8421
22;21.35;3.884;2.13;0.85
23;22.01;3.886;2.173;0.8615
24;23.09;3.886;2.218;0.8699
25;24.06;3.884;2.246;0.8752
26;24.28;3.882;2.266;0.8799
27;24.28;3.88;2.311;0.8825
28;24.35;3.882;2.367;0.8836
29;24.63;3.88;2.384;0.8836
30;24.98;3.879;2.384;0.8815
31;25.14;3.873;2.391;0.8799
32;25.2;3.869;2.419;0.8825
33;25.23;3.859;2.427;0.8867
34;25.24;3.855;2.428;0.8898
35;25.24;3.859;2.429;0.8956
36;25.25;3.857;2.429;0.9087
37;25.27;3.847;2.429;0.9213
38;25.29;3.841;2.431;0.9297
39;25.31;3.836;2.449;0.9418
40;25.35;3.832;2.464;0.9602
41;25.36;3.832;2.466;0.9717
42;25.41;3.834;2.466;0.9748
43;25.58;3.836;2.467;0.9775
44;25.79;3.84;2.472;0.9785
45;26.05;3.845;2.529;0.9764
46;26.42;3.843;2.604;0.9759
47;26.77;3.834;2.607;0.9759
48;27.02;3.808;2.621;0.9759
49;27.18;3.777;2.631;0.9759
50;27.24;3.754;2.641;0.979
51;27.26;3.734;2.676;0.9848
52;27.84;3.717;2.685;0.9869
53;29.5;3.703;2.687;0.9864
54;31.68;3.695;2.689;0.9859
55;33.49;3.707;2.689;0.9869
56;34.41;3.742;2.691;0.9874
57;34.53;3.767;2.696;0.988
58;34.59;3.781;2.699;0.988
59;34.9;3.799;2.7;0.9864
60;35.27;3.814;2.701;0.988
61;35.66;3.824;2.703;0.9901
62;36.01;3.857;2.702;0.9922
63;36.24;3.982;2.711;0.9943
64;36.45;4.173;2.715;0.9985
65;36.76;4.263;2.714;1.004
66;37.15;4.265;2.742;1.008
67;37.51;4.271;2.788;1.015
68;37.69;4.302;2.813;1.021
69;37.72;4.362;2.86;1.024
70;37.74;4.429;2.957;1.025
71;37.84;4.479;3.06;1.025
72;37.96;4.526;3.118;1.025
73;38.0;4.569;3.117;1.024
74;38.01;4.606;3.21;1.025
75;38.04;4.663;3.445;1.027
76;38.1;4.743;3.684;1.033
77;38.17;4.803;3.834;1.038
78;38.22;4.848;3.882;1.04
79;38.25;4.907;3.883;1.039
80;38.27;4.954;3.883;1.04
81;38.27;4.967;3.905;1.044
82;38.32;4.967;4.027;1.049
83;38.36;4.969;4.154;1.057
