MR32 CSV
Name;Staw lokciowy zginanie, nadgarstkowy wyprost 2
Frequency;1500
Date;17-03-2023 12:32:00
"Time,s";"FLEX.CAPR.U RT,%";"BICEPS BR. RT,%";"BRACHIORAD. RT,%";"LAT. TRICEPS RT,%"
0,0000;0,9419;2,245;0,9239;0,9425
0,0007;0,9419;2,253;0,9239;0,9445
0,0013;0,9443;2,262;0,927;0,9461
0,0020;0,9466;2,27;0,9333;0,9477
0,0027;0,949;2,281;0,9364;0,9501
0,0033;0,9549;2,29;0,9364;0,9509
0,0040;0,9656;2,298;0,9364;0,9513
0,0047;0,9762;2,31;0,9396;0,9517
0,0053;0,9904;2,318;0,9458;0,9534
0,0060;0,9951;2,321;0,9458;0,9546
0,0067;0,9951;2,324;0,9458;0,9546
0,0073;0,9987;2,324;0,9458;0,9546
0,0080;1,002;2,324;0,9458;0,9546
0,0087;1,009;2,324;0,949;0,955
0,0093;1,019;2,324;0,949;0,955
0,0100;1,029;2,324;0,949;0,9562
0,0107;1,038;2,326;0,949;0,9562
0,0113;1,042;2,326;0,949;0,9566
0,0120;1,042;2,329;0,9521;0,957
0,0127;1,042;2,338;0,9521;0,957
0,0133;1,042;2,343;0,9552;0,957
0,0140;1,042;2,349;0,9584;0,957
0,0147;1,042;2,349;0,9584;0,9574
0,0153;1,042;2,355;0,9584;0,9574
0,0160;1,044;2,36;0,9584;0,9574
0,0167;1,045;2,366;0,9615;0,9574
0,0173;1,045;2,374;0,9646;0,9578
0,0180;1,045;2,38;0,9709;0,9578
0,0187;1,045;2,383;0,9709;0,9578
0,0193;1,045;2,385;0,9709;0,9582
0,0200;1,046;2,385;0,974;0,9582
0,0207;1,046;2,385;0,974;0,9582
0,0213;1,046;2,385;0,974;0,9582
0,0220;1,046;2,385;0,974;0,9586
0,0227;1,046;2,385;0,9772;0,9586
0,0233;1,048;2,385;0,9803;0,959
0,0240;1,051;2,385;0,9803;0,9594
0,0247;1,051;2,388;0,9803;0,9598
0,0253;1,052;2,388;0,9803;0,9598
0,0260;1,053;2,388;0,9803;0,9602
0,0267;1,054;2,388;0,9803;0,9606
0,0273;1,057;2,391;0,9803;0,961
0,0280;1,058;2,391;0,9803;0,9622
0,0287;1,059;2,391;0,9803;0,9638
0,0293;1,066;2,394;0,9834;0,9646
0,0300;1,074;2,394;0,9865;0,9655
0,0307;1,079;2,397;0,9865;0,9671
0,0313;1,082;2,397;0,9865;0,9679
0,0320;1,083;2,399;0,9865;0,9679
0,0327;1,084;2,399;0,9865;0,9683
0,0333;1,084;2,399;0,9865;0,9695
0,0340;1,086;2,399;0,9865;0,9703
0,0347;1,093;2,399;0,9897;0,9707
0,0353;1,103;2,399;0,9897;0,9707
0,0360;1,112;2,399;0,9897;0,9711
0,0367;1,117;2,402;0,9897;0,9715
0,0373;1,119;2,402;0,9897;0,9715
0,0380;1,121;2,405;0,9897;0,9715
0,0387;1,122;2,408;0,9897;0,9727
0,0393;1,122;2,414;0,9897;0,9739
0,0400;1,123;2,419;0,9897;0,9739
0,0407;1,123;2,428;0,9897;0,9739
0,0413;1,124;2,433;0,9928;0,9755
0,0420;1,13;2,442;0,9928;0,9767
0,0427;1,132;2,444;1,002;0,9767
0,0433;1,132;2,45;1,005;0,9775
0,0440;1,132;2,45;1,008;0,9788
0,0447;1,132;2,456;1,008;0,9788
0,0453;1,132;2,459;1,008;0,9796
0,0460;1,132;2,459;1,012;0,9812
0,0467;1,134;2,459;1,015;0,9816
0,0473;1,134;2,459;1,018;0,9816
0,0480;1,135;2,459;1,018;0,9816
0,0487;1,135;2,459;1,021;0,982
0,0493;1,135;2,459;1,03;0,9824
0,0500;1,136;2,461;1,034;0,9832
0,0507;1,137;2,464;1,034;0,9832
0,0513;1,137;2,464;1,034;0,9832
0,0520;1,137;2,467;1,037;0,9832
0,0527;1,137;2,467;1,04;0,9836
0,0533;1,138;2,467;1,04;0,9848
0,0540;1,142;2,467;1,04;0,9864
0,0547;1,144;2,47;1,04;0,9872
0,0553;1,144;2,47;1,04;0,9872
0,0560;1,147;2,47;1,04;0,9872
0,0567;1,153;2,473;1,043;0,9876
0,0573;1,155;2,475;1,043;0,9876
0,0580;1,155;2,478;1,043;0,9892
0,0587;1,157;2,484;1,043;0,99
0,0593;1,162;2,487;1,046;0,9904
0,0600;1,168;2,487;1,049;0,9904
0,0607;1,169;2,487;1,052;0,9904
0,0613;1,17;2,487;1,052;0,9913
0,0620;1,17;2,489;1,052;0,9917
0,0627;1,17;2,489;1,052;0,9917
0,0633;1,17;2,492;1,052;0,9921
0,0640;1,17;2,495;1,052;0,9925
0,0647;1,17;2,498;1,052;0,9925
0,0653;1,174;2,503;1,052;0,9925
0,0660;1,176;2,512;1,052;0,9925
0,0667;1,176;2,523;1,055;0,9925
0,0673;1,177;2,54;1,059;0,9925
0,0680;1,177;2,56;1,062;0,9929
0,0687;1,179;2,571;1,068;0,9933
0,0693;1,181;2,577;1,068;0,9933
0,0700;1,186;2,582;1,068;0,9949
0,0707;1,187;2,591;1,068;0,9965
0,0713;1,188;2,596;1,068;0,9965
0,0720;1,189;2,602;1,071;0,9969
0,0727;1,192;2,605;1,081;0,9973
0,0733;1,196;2,605;1,084;0,9973
0,0740;1,205;2,61;1,084;0,9973
0,0747;1,212;2,613;1,084;0,9973
0,0753;1,216;2,616;1,084;0,9977
0,0760;1,218;2,616;1,084;0,9977
0,0767;1,218;2,616;1,084;0,9985
0,0773;1,218;2,616;1,084;1
0,0780;1,221;2,619;1,087;1,001
0,0787;1,233;2,627;1,093;1,001
0,0793;1,245;2,644;1,099;1,001
0,0800;1,25;2,666;1,106;1,002
0,0807;1,25;2,697;1,106;1,005
0,0813;1,25;2,734;1,109;1,007
0,0820;1,25;2,768;1,109;1,009
0,0827;1,251;2,801;1,112;1,01
0,0833;1,251;2,824;1,115;1,01
0,0840;1,251;2,838;1,118;1,01
0,0847;1,251;2,841;1,118;1,011
0,0853;1,251;2,841;1,118;1,013
0,0860;1,251;2,841;1,118;1,014
0,0867;1,252;2,843;1,118;1,015
0,0873;1,253;2,849;1,118;1,017
0,0880;1,255;2,857;1,118;1,017
0,0887;1,258;2,874;1,118;1,019
0,0893;1,258;2,897;1,118;1,02
0,0900;1,258;2,919;1,118;1,02
0,0907;1,258;2,939;1,121;1,02
0,0913;1,258;2,97;1,121;1,02
